"TOA5","EKO_MS80_1","CR300","16466","CR310.Std.10.07","CPU:08_10_25_adams.cr300","26933","IPC_DNI"
"TIMESTAMP","RECORD","DNI","Vraw_mV","BattV","PTemp_C","Vraw_mV_Adam"
"TS","RN","W/m^2","mV","Volts","Deg C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2025-10-10 11:30:00",348,884.5967,5915.781,13.77286,18.40524,7180.231
"2025-10-10 11:31:30",349,910.8947,6088.377,13.80569,18.48328,7420.964
"2025-10-10 11:33:00",350,877.8361,5870.967,13.77166,18.50249,7156.439
"2025-10-10 11:34:30",351,791.8074,5295.317,13.77455,18.54543,6437.86
"2025-10-10 11:36:00",352,728.516,4873.588,13.77311,18.58759,5910.241
"2025-10-10 11:37:30",353,840.0977,5615.535,13.68378,18.61596,6827.666
"2025-10-10 11:39:00",354,919.7932,6150.459,13.77383,18.70293,7471.586
"2025-10-10 11:40:30",355,909.4384,6082.591,13.77238,18.73362,7393.978
"2025-10-10 11:42:00",356,915.6011,6128.098,13.77407,18.79002,7462.516
"2025-10-10 11:43:30",357,802.3293,5364.816,13.77311,18.87965,6544.398
"2025-10-10 11:45:00",358,811.4148,5430.383,13.77286,18.928,6587.603
"2025-10-10 11:46:30",359,873.34,5836.52,13.77455,19.0461,7094.827
"2025-10-10 11:48:00",360,867.8152,5803.367,13.77552,19.09687,7047.444
"2025-10-10 11:49:30",361,855.7402,5725.246,13.77431,19.15129,6946
"2025-10-10 11:51:00",362,749.3259,5012.497,13.77383,19.25703,6073.611
"2025-10-10 11:52:30",363,702.2582,4697.909,13.77552,19.296,5701.878
"2025-10-10 11:54:00",364,617.9665,4132.893,13.77455,19.39435,5024.984
"2025-10-10 11:55:30",365,664.6901,4445.537,13.776,19.45407,5379.203
"2025-10-10 11:57:00",366,692.0236,4629.214,13.78059,19.48585,5618.931
"2025-10-10 11:58:30",367,642.9149,4301.334,13.74438,19.60318,5237.972
"2025-10-10 12:00:00",368,725.8738,4852.008,13.74534,19.63354,5894.581
"2025-10-10 12:01:30",369,713.5683,4772.523,13.74631,19.70562,5753.103
"2025-10-10 12:03:00",370,736.4324,4926.779,13.74486,19.77328,5994.015
"2025-10-10 12:04:30",371,656.2225,4389.464,13.74534,19.81589,5329.833
"2025-10-10 12:06:00",372,542.7503,3630.517,13.7451,19.90065,4425.007
"2025-10-10 12:07:30",373,628.8624,4203.531,13.74631,19.94073,5105.921
"2025-10-10 12:09:00",374,657.9962,4402.623,13.74486,19.97736,5324.314
"2025-10-10 12:10:30",375,650.8547,4355.776,13.71638,20.04283,5285.398
"2025-10-10 12:12:00",376,658.4037,4404.499,13.71783,20.05607,5352.061
"2025-10-10 12:13:30",377,677.47,4532.349,13.71614,20.11391,5492.778
"2025-10-10 12:15:00",378,715.0213,4778.957,13.71614,20.14415,5803.345
"2025-10-10 12:16:30",379,669.4935,4475.606,13.63623,20.15464,5438.694
"2025-10-10 12:18:00",380,682.9447,4566.596,13.71566,20.21104,5543.289
"2025-10-10 12:19:30",381,618.1736,4136.042,13.71638,20.21093,5012.832
"2025-10-10 12:21:00",382,664.767,4448.598,13.71638,20.24438,5379.829
"2025-10-10 12:22:30",383,683.6595,4571.421,13.71662,20.29813,5579.948
